feature,psi,ks_stat,ks_pvalue,ks_significant,train_mean,hold_mean,mean_shift_pct,train_std,hold_std,std_ratio,train_p50,hold_p50,train_p25,hold_p25,train_p75,hold_p75,train_nan_pct,hold_nan_pct
trend_dir,0.004389601905906994,0.02482817867178827,4.451672618682407e-23,True,-0.012388962866822863,-0.02909976409710068,-134.8845747708463,0.5488568609069288,0.5774912120615473,1.0521708885175134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rsi_norm,0.003081592118805937,0.02103283468975331,1.1076716305109578e-16,True,0.511069948361999,0.506409063385583,-0.9119857237222642,0.11440093451992077,0.11843866870012604,1.035294581830602,0.5118400687237796,0.5066824483911073,0.4362134803171626,0.4288616783787799,0.587324910564565,0.5848563157752609,0.0,0.0
efficiency_20,0.0029958443626390205,0.021230868822980864,5.455936907318081e-17,True,0.1132941859724601,0.10986442599672662,-3.0273044605255883,0.08547407976018155,0.13012348536298873,1.5223736155534917,0.09633339937691296,0.09240028822108799,0.04523561266060586,0.043262042688646404,0.1629660439685789,0.15703234982511158,0.0,0.0
dm_diff_norm,0.0029137864428254116,0.018235243438858295,1.2050498248103663e-12,True,-0.0012629564529839392,-0.007071622079010784,-459.92567780513446,0.13429942031695438,0.13326036845185427,0.9922631620083612,-0.0021150680488789316,-0.006251863428449908,-0.09027504390025828,-0.09349519998209088,0.0865534691016324,0.0801586289527707,0.0,0.0
macd_hist_atr_log,0.002900207130152179,0.01204478501109274,9.302443250439755e-06,True,-0.05440853230589233,-0.06189487602055877,-13.759502893741281,7.143661022942477,7.113680173050783,0.995803153202369,-3.1871236654983575,-3.2722100514073493,-7.302217951050028,-7.281603553978576,7.29841139510092,7.258023301748052,0.0,0.0
atr_norm_bps_z,0.002430423393947792,0.01686863455221055,6.978051853019508e-11,True,-0.03723482721177781,-0.08278630332345635,-122.33566877923741,1.3026493847797584,1.28421180231365,0.9858460890033952,-0.24363740408140203,-0.2824702656124182,-1.067364985717544,-1.0974974286893961,0.842861555976659,0.7821942115193555,0.0,0.0
realized_vol_20_bps_z,0.00229309461792655,0.017375015059815868,1.609098378021339e-11,True,-0.019608515835582464,-0.05166863882153179,-163.5010095601501,1.1938119538165357,1.1819072191517144,0.9900279641054097,-0.21830707253440335,-0.2637881370096197,-0.8998273229131896,-0.9026319470628507,0.6877877868147816,0.618186576534398,0.0,0.0
hour_sin,0.0018775801506954292,0.006564490720559202,0.052034044247990074,False,0.02625983681348083,0.022547427651558483,-14.137212835398905,0.7117984055236225,0.7099907098587398,0.9974603811299447,1.2246467991473532e-16,1.2246467991473532e-16,-0.7071067811865471,-0.7071067811865471,0.7071067811865476,0.7071067811865476,0.0,0.0
price_acceleration,0.001677338866131832,0.009954236489369994,0.00045555372429024684,True,2.446587531090986e-07,-5.432742973454796e-05,-22214.591500194274,0.9673050259399517,0.950220458380073,0.9823379719074495,-0.007378737836139293,-0.008139746846903273,-0.6167144251879366,-0.5914261762442719,0.6039311560882883,0.5775210439008227,0.0,0.0
dist_high_60,0.0015542965993995664,0.01738705957751585,1.5530955626690313e-11,True,-3.5484147162332254,-3.5934586462931004,-1.2694099661213436,2.449570233120427,2.417924302532734,0.9870810270524634,-3.1400286655151115,-3.23329040968936,-5.164522333757391,-5.201316569556686,-1.5554090614990526,-1.6289660149808447,0.0,0.0
bb_width_bps_z,0.0014365139489334836,0.0175486801480359,9.632287757256575e-12,True,0.0022978267237016114,-0.028543595901945842,-1342.1990825301934,1.093368918576161,1.083333029435456,0.9908211309458151,-0.26796073496004924,-0.29074426728295155,-0.7842195853463514,-0.7906398908428558,0.5401828331540997,0.4808554318182039,0.0,0.0
hour_cos,0.001212846153216831,0.009951350325295483,0.00045777359423713587,True,-0.04247337582773724,-0.038298117692564276,9.830294756423303,0.7006064966943668,0.7028072705954221,1.0031412396377966,-1.8369701987210297e-16,-1.8369701987210297e-16,-0.7071067811865479,-0.7071067811865479,0.7071067811865474,0.7071067811865474,0.0,0.0
