time,ret_60_bps,ret_1_bps,ret_5_bps,ret_3_bps,ret_10_bps,ret_20_bps,ema_50_slope_bps,ema_50_dist_bps,ema_9_slope_bps
2024-05-12,2.349398273884475,0.041639989946521516,0.20727468584964903,0.12504094601080684,0.4106956151264696,0.8214060289403716,0.11875825084321186,0.9653209588916739,0.12294792246065937
2024-05-19,2.110898059993537,0.036631854458972914,0.18215550290838875,0.10967221173216748,0.36255869971806204,0.7180986639930392,0.1057512934589681,0.8586258283047693,0.1081108448563392
2024-05-26,-2.919247445577258,-0.05022172293952646,-0.2500399217981799,-0.15042587955780543,-0.4991340008029099,-0.9904303767075808,-0.1482637611518415,-1.2215991822035681,-0.15039652994653094
2024-06-02,-0.4739669420830828,-0.006969595489040094,-0.03421356827776265,-0.02060288126278771,-0.07010776450791298,-0.14682600839856874,-0.0233345490262032,-0.19559871845267285,-0.02145490420482089
2024-06-09,-1.001089360912113,-0.016787839453183365,-0.08402147542102396,-0.05047578767510589,-0.16568319596926923,-0.32372618188243313,-0.051031819042613696,-0.4271737630152909,-0.05055416829858465
2024-06-16,1.1529671531133978,0.019350687905701106,0.09672725284163587,0.057911614566622416,0.1912387943715341,0.3779981045025559,0.057050391191756,0.4582621466169297,0.05678595091214928
2024-06-23,-0.3193672092067007,-0.005939484864128483,-0.032068756630518655,-0.018421951641945322,-0.06479936079200757,-0.1254177390717974,-0.017815943316527336,-0.1521973469896317,-0.019833401189452
2024-06-30,0.20796447282472036,0.0037865964586784187,0.02138647512440319,0.01196544336664228,0.045038997168016834,0.08855711651256766,0.010918372115467949,0.08469867456699702,0.013039234097060152
2024-07-07,2.311811116773504,0.03865986218934601,0.19230370170565453,0.11564224018096975,0.3840652222254742,0.7686214265628426,0.11514552389776983,0.9362649504129253,0.11483429156443492
2024-07-14,0.7782417454411933,0.01392992565463117,0.06866449761795546,0.04174509300818437,0.13521883855090333,0.26116644699737723,0.03826792425367203,0.3068092298104405,0.03991415808181912
2024-07-21,0.14736221236324565,0.0020263700183886144,0.010979035895209682,0.006041410463727849,0.024748224939491546,0.050740044751314904,0.006208446540450488,0.042608247198990964,0.006568703218680583
2024-07-28,-0.49704078578990973,-0.008458976382845023,-0.04333801004241506,-0.025734785523952287,-0.08377209173087957,-0.15723005880281624,-0.02504653879980484,-0.21217329572876478,-0.025824000754818967
2024-08-04,1.8310023417537131,0.026846852394245377,0.1339317422810701,0.08067460964202258,0.2625219997984929,0.5229323448865246,0.07994504457832632,0.6400625964091999,0.07817537992945035
2024-08-11,-0.4415631646326119,-0.007284163555480747,-0.034223036072885314,-0.021362074041084665,-0.06485213207521304,-0.13366584058853553,-0.022462726674519977,-0.1972541917262162,-0.020926485583772563
2024-08-18,2.699291079731111,0.04643011606591698,0.23149659131280576,0.1391940804174371,0.46031128071396804,0.91586538879631,0.13485800005806486,1.0947387940528073,0.13749418396106458
2024-08-25,0.36958619440612406,0.0057665767082680595,0.02692252358256788,0.016808861410933768,0.051701956233992125,0.10902868780658662,0.016686244975114808,0.12943812463272264,0.015256494534254976
