period,state,prob_bucket,n,mean_pred,empirical_rate,score_std,calibration_gap
validation,TREND_DOWN,"[0.70,0.80)",0,,,,
validation,TREND_DOWN,"[0.80,0.90)",0,,,,
validation,TREND_DOWN,"[0.90,1.00]",0,,,,
validation,TREND_UP,"[0.00,0.10)",20,0.04496143367141485,0.3,0.02052385810078839,0.2550385663285851
validation,TREND_UP,"[0.10,0.20)",84,0.13728537410497665,0.13095238095238096,0.0295013274377397,-0.006332993152595695
validation,TREND_UP,"[0.20,0.30)",169,0.236275317841733,0.21301775147928995,0.016783147838407654,-0.023257566362443055
validation,TREND_UP,"[0.30,0.40)",0,,,,
validation,TREND_UP,"[0.40,0.50)",0,,,,
validation,TREND_UP,"[0.50,0.60)",0,,,,
validation,TREND_UP,"[0.60,0.70)",0,,,,
validation,TREND_UP,"[0.70,0.80)",0,,,,
validation,TREND_UP,"[0.80,0.90)",0,,,,
validation,TREND_UP,"[0.90,1.00]",0,,,,
validation,VOLATILE,"[0.00,0.10)",233,0.03695091944939333,0.0,0.015986090054785216,-0.03695091944939333
validation,VOLATILE,"[0.10,0.20)",41,0.12449807310249747,0.0,0.02818376653384147,-0.12449807310249747
validation,VOLATILE,"[0.20,0.30)",5,0.2462148606777191,0.0,0.018283286933911794,-0.2462148606777191
validation,VOLATILE,"[0.30,0.40)",0,,,,
validation,VOLATILE,"[0.40,0.50)",0,,,,
validation,VOLATILE,"[0.50,0.60)",0,,,,
validation,VOLATILE,"[0.60,0.70)",0,,,,
validation,VOLATILE,"[0.70,0.80)",0,,,,
validation,VOLATILE,"[0.80,0.90)",0,,,,
validation,VOLATILE,"[0.90,1.00]",0,,,,
